date,prediction
2014-12-01 00:00:00,26.98446504449479
2014-12-01 06:00:00,25.715309323363257
2014-12-01 08:00:00,29.144783525965835
2014-12-01 09:00:00,31.491754199063877
2014-12-01 10:00:00,29.187678633433535
2014-12-01 11:00:00,30.9177475463785
2014-12-01 12:00:00,29.005110289005444
2014-12-01 13:00:00,31.15892458833386
2014-12-01 14:00:00,33.33947030207704
2014-12-01 15:00:00,34.732195085641294
2014-12-01 16:00:00,35.806734978501396
2014-12-01 17:00:00,34.46891502575169
2014-12-01 18:00:00,34.68665289146418
2014-12-01 19:00:00,33.21274720709175
2014-12-01 20:00:00,32.44484329330131
2014-12-01 21:00:00,31.010524913821836
2014-12-01 22:00:00,30.959242211323968
2014-12-01 23:00:00,32.266453232278074
2014-12-02 00:00:00,30.35849833482201
2014-12-02 01:00:00,31.41140493485392
2014-12-02 02:00:00,30.497262466394858
2014-12-02 03:00:00,30.105322780247832
2014-12-02 04:00:00,29.53551948123991
2014-12-02 05:00:00,30.449110616936338
2014-12-02 06:00:00,30.150768442254282
2014-12-02 07:00:00,29.908856741715503
2014-12-02 08:00:00,30.135628253337927
2014-12-02 09:00:00,31.02183543187079
2014-12-02 10:00:00,28.308425454493097
2014-12-02 11:00:00,28.10407873558262
2014-12-02 12:00:00,27.632761845121955
2014-12-02 13:00:00,27.928679940779755
2014-12-02 14:00:00,28.387191498088278
2014-12-02 15:00:00,29.08461901427745
2014-12-02 16:00:00,28.444662890951864
2014-12-02 17:00:00,27.279939173279498
2014-12-02 18:00:00,26.99827670373826
2014-12-02 19:00:00,28.296514581539288
2014-12-02 20:00:00,27.656300775043842
2014-12-02 21:00:00,27.920600883198947
2014-12-03 00:00:00,25.33928613829106
2014-12-03 06:00:00,26.261207695576175
2014-12-03 12:00:00,24.10209855510157
2014-12-03 18:00:00,24.799078452719897
2014-12-03 23:00:00,27.771614021191603
2014-12-04 00:00:00,24.99307533749011
2014-12-04 01:00:00,28.226294307966572
2014-12-04 02:00:00,29.134604790259253
2014-12-04 03:00:00,28.692053969133966
2014-12-04 04:00:00,29.20448005058308
2014-12-04 05:00:00,28.783732410223458
2014-12-04 06:00:00,29.69285509107589
2014-12-04 07:00:00,29.888723437805865
2014-12-04 08:00:00,29.168153937605908
2014-12-04 09:00:00,30.1116699032007
2014-12-04 10:00:00,30.191068095038602
2014-12-04 11:00:00,29.784952261720477
2014-12-04 12:00:00,28.541927642937928
2014-12-04 13:00:00,30.51874519473056
2014-12-04 14:00:00,30.03916470942649
2014-12-04 15:00:00,29.843565825313284
2014-12-04 16:00:00,29.510082835001377
2014-12-04 17:00:00,29.898749352948613
2014-12-04 18:00:00,27.62198567737256
2014-12-04 19:00:00,28.412833701009323
2014-12-04 20:00:00,28.72296582755175
2014-12-04 21:00:00,29.954531728039957
2014-12-04 22:00:00,30.50538559347681
2014-12-04 23:00:00,30.1211032269074
2014-12-05 00:00:00,29.98255734078527
2014-12-05 01:00:00,29.578895204717462
2014-12-05 02:00:00,26.631003132916696
2014-12-05 03:00:00,25.886653251267724
2014-12-05 04:00:00,25.113072758423762
2014-12-05 05:00:00,26.274151809309004
2014-12-05 06:00:00,24.36788811141716
2014-12-05 07:00:00,24.864107765782236
2014-12-05 08:00:00,24.148381023394062
2014-12-05 09:00:00,23.747162392099494
2014-12-05 10:00:00,23.5524587134567
2014-12-05 11:00:00,23.923881360207798
2014-12-05 12:00:00,23.711618647314676
2014-12-05 13:00:00,25.06737701914473
2014-12-05 14:00:00,26.486844365854793
2014-12-05 15:00:00,28.05271929391608
2014-12-05 16:00:00,28.99762182655904
2014-12-05 17:00:00,28.85287197950793
2014-12-05 18:00:00,29.853062540872468
2014-12-05 19:00:00,28.47735994854784
2014-12-05 20:00:00,30.896928688048767
2014-12-05 21:00:00,28.332164972003945
2014-12-05 22:00:00,28.013204987235653
2014-12-06 00:00:00,24.122205572408767
2014-12-06 06:00:00,25.567383764193146
2014-12-06 12:00:00,23.85112975169018
2014-12-06 18:00:00,25.545109182586163
2014-12-06 21:00:00,31.728536160931515
2014-12-07 00:00:00,28.653455056764336
2014-12-07 04:00:00,29.53119973072752
2014-12-07 05:00:00,28.90935742097418
2014-12-07 06:00:00,20.92977992209409
2014-12-07 07:00:00,23.749379668915427
2014-12-07 08:00:00,26.41934060295592
2014-12-07 09:00:00,24.042165732399646
2014-12-07 10:00:00,25.18856491413331
2014-12-07 11:00:00,25.594494287709814
2014-12-07 12:00:00,25.294274948749816
2014-12-07 13:00:00,25.614883716964737
2014-12-07 14:00:00,25.712120225748773
2014-12-07 15:00:00,25.505849660343006
2014-12-07 16:00:00,24.801628730489796
2014-12-07 17:00:00,23.94154580178248
2014-12-07 18:00:00,24.64645770941386
2014-12-07 19:00:00,24.179728359923786
2014-12-07 20:00:00,24.10728566248266
2014-12-07 21:00:00,23.62693544957259
2014-12-07 22:00:00,23.726244027252694
2014-12-07 23:00:00,23.844769686029263
2014-12-08 00:00:00,24.17358032555758
2014-12-08 01:00:00,23.68447394889365
2014-12-08 02:00:00,23.003542266057256
2014-12-08 03:00:00,23.407503620924857
2014-12-08 04:00:00,23.16950336011432
2014-12-08 05:00:00,23.493941660829446
2014-12-08 06:00:00,23.11995327538856
2014-12-08 07:00:00,23.352531406313584
2014-12-08 08:00:00,23.121892211371787
2014-12-08 09:00:00,23.16012757702218
2014-12-08 10:00:00,22.92628605609902
2014-12-08 11:00:00,23.15618935880731
2014-12-08 12:00:00,21.25006723522894
2014-12-08 13:00:00,23.07099204173952
2014-12-08 14:00:00,24.127097054338986
